"","Forma_i_poziom","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2176","Rachunkowoœæ i finanse biznesu (stacjonarne I stopnia)","Podstawy controllingu i audytu","Wyk³ad: 30","3","Zaliczenie","0","C"
"2177","Rachunkowoœæ i finanse biznesu (stacjonarne I stopnia)","Podstawy etyki w rachunkowoœci i finansach","Wyk³ad: 30","3","Zaliczenie","0","C"
"2178","Rachunkowoœæ i finanse biznesu (stacjonarne I stopnia)","Rachunkowoœæ ma³ych jednostek","Wyk³ad: 30","3","Zaliczenie","0","C"
"2179","Rachunkowoœæ i finanse biznesu (stacjonarne I stopnia)","Suma","165","16","","",""
"2180","Rachunkowoœæ i finanse biznesu (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","255","30","","",""
"2181","Rachunkowoœæ i finanse biznesu (stacjonarne I stopnia)","Suma (Wyk³ad)","150","","","",""
"2182","Rachunkowoœæ i finanse biznesu (stacjonarne I stopnia)","Suma (Æwiczenia)","15","","","",""
"2183","Zarz¹dzanie (stacjonarne I stopnia)","Informatyka w zarz¹dzaniu","Wyk³ad: 15
                                                                                Æwiczenia: 30","5","Zaliczenie","1","B"
"2184","Zarz¹dzanie (stacjonarne I stopnia)","Makroekonomia","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","A"
"2185","Zarz¹dzanie (stacjonarne I stopnia)","Matematyka","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","A"
"2186","Zarz¹dzanie (stacjonarne I stopnia)","Podstawy zarz¹dzania","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","A"
"2187","Zarz¹dzanie (stacjonarne I stopnia)","Prawo(w tym treœci z ochrony w³asnoœci intelektualnej)","Wyk³ad: 30","3","Egzamin","1","A"
"2188","Zarz¹dzanie (stacjonarne I stopnia)","Wychowanie fizyczne","Æwiczenia: 30","-","Zaliczenie","1","C"
"2189","Zarz¹dzanie (stacjonarne I stopnia)","Zachowania organizacyjne","Wyk³ad: 30","4","Zaliczenie","1","B"
"2190","Zarz¹dzanie (stacjonarne I stopnia)","Suma","315","30","","",""
"2191","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","165","","","",""
"2192","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","150","","","",""
"2193","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2194","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk obcy I","Æwiczenia: 30","2","Zaliczenie","1","D(B)"
"2195","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2196","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2197","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2198","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2199","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2200","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk obcy II","Æwiczenia: 30","2","Zaliczenie","1","D(B)"
"2201","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2202","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2203","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2204","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2205","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2206","Zarz¹dzanie (stacjonarne I stopnia)","Metody i techniki zarz¹dzania","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Zaliczenie","1","B"
"2207","Zarz¹dzanie (stacjonarne I stopnia)","Mikroekonomia","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","A"
"2208","Zarz¹dzanie (stacjonarne I stopnia)","Podstawy marketingu","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","A"
"2209","Zarz¹dzanie (stacjonarne I stopnia)","Podstawy zarz¹dzania jakoœci¹","Wyk³ad: 30
                                                                                Æwiczenia: 15","5","Egzamin","1","B"
"2210","Zarz¹dzanie (stacjonarne I stopnia)","Statystyka","Wyk³ad: 15
                                                                                Æwiczenia: 30","6","Egzamin","1","B"
"2211","Zarz¹dzanie (stacjonarne I stopnia)","Wychowanie fizyczne","Æwiczenia: 30","-","Zaliczenie","1","C"
"2212","Zarz¹dzanie (stacjonarne I stopnia)","Suma","330","30","","",""
"2213","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","210","","","",""
"2214","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","120","","","",""
"2215","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2216","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk obcy I","Æwiczenia: 30","2","Zaliczenie","1","D(B)"
"2217","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2218","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2219","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2220","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2221","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2222","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk obcy II","Æwiczenia: 30","2","Zaliczenie","1","D(B)"
"2223","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2224","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2225","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2226","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2227","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2228","Zarz¹dzanie (stacjonarne I stopnia)","Metody badañ rynku","Wyk³ad: 15
                                                                                Æwiczenia: 30","5","Egzamin","1","B"
"2229","Zarz¹dzanie (stacjonarne I stopnia)","Podstawy logistyki","Wyk³ad: 30
                                                                                Æwiczenia: 15","4","Zaliczenie","1","B"
"2230","Zarz¹dzanie (stacjonarne I stopnia)","Rachunkowoœæ finansowa","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","A"
"2231","Zarz¹dzanie (stacjonarne I stopnia)","Zarz¹dzanie operatywne","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","B"
"2232","Zarz¹dzanie (stacjonarne I stopnia)","Zarz¹dzanie projektami","Wyk³ad: 15
                                                                                Æwiczenia: 15","5","Egzamin","1","B"
"2233","Zarz¹dzanie (stacjonarne I stopnia)","Suma","300","30","","",""
"2234","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","180","","","",""
"2235","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","120","","","",""
"2236","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2237","Zarz¹dzanie (stacjonarne I stopnia)","Finanse","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","A"
"2238","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk obcy I","Æwiczenia: 30","2","Zaliczenie","1","D(B)"
"2239","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2240","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2241","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2242","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2243","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2244","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk obcy II","Æwiczenia: 30","2","Zaliczenie","1","D(B)"
"2245","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2246","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2247","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2248","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2249","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"2250","Zarz¹dzanie (stacjonarne I stopnia)","Seminarium dyplomowe","Æwiczenia: 15","1","Zaliczenie","1","C"
"2251","Zarz¹dzanie (stacjonarne I stopnia)","Socjologia / Filozofia","Wyk³ad: 30","4","Zaliczenie","0","B"
"2252","Zarz¹dzanie (stacjonarne I stopnia)","Filozofia","Wyk³ad: 30","4","Zaliczenie","0","B"
"2253","Zarz¹dzanie (stacjonarne I stopnia)","Socjologia","Wyk³ad: 30","4","Zaliczenie","0","B"
"2254","Zarz¹dzanie (stacjonarne I stopnia)","Zarz¹dzanie zasobami ludzkimi","Wyk³ad: 15
                                                                                Æwiczenia: 30","6","Egzamin","1","B"
"2255","Zarz¹dzanie (stacjonarne I stopnia)","Suma","210","21","","",""
"2256","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","75","","","",""
"2257","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","135","","","",""
"2258","Zarz¹dzanie (stacjonarne I stopnia)","Specjalnoœæ: Handel i marketing",NA,NA,NA,NA,NA
"2259","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2260","Zarz¹dzanie (stacjonarne I stopnia)","Strategia produktu","Wyk³ad: 30
                                                                                Æwiczenia: 15","5","Egzamin","1","C"
"2261","Zarz¹dzanie (stacjonarne I stopnia)","Zarz¹dzanie dystrybucj¹","Wyk³ad: 30
                                                                                Æwiczenia: 15","4","Egzamin","1","C"
"2262","Zarz¹dzanie (stacjonarne I stopnia)","Suma","90","9","","",""
"2263","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","300","30","","",""
"2264","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","60","","","",""
"2265","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","30","","","",""
"2266","Zarz¹dzanie (stacjonarne I stopnia)","Specjalnoœæ: Komunikacja w biznesie",NA,NA,NA,NA,NA
"2267","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2268","Zarz¹dzanie (stacjonarne I stopnia)","Komunikacja marketingowa","Wyk³ad: 30
                                                                                Æwiczenia: 15","4","Egzamin","1","C"
"2269","Zarz¹dzanie (stacjonarne I stopnia)","Komunikacja miêdzyludzka","Wyk³ad: 30
                                                                                Æwiczenia: 30","5","Egzamin","1","C"
"2270","Zarz¹dzanie (stacjonarne I stopnia)","Suma","105","9","","",""
"2271","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","315","30","","",""
"2272","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","60","","","",""
"2273","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","45","","","",""
"2274","Zarz¹dzanie (stacjonarne I stopnia)","Specjalnoœæ: Konsulting gospodarczy",NA,NA,NA,NA,NA
"2275","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2276","Zarz¹dzanie (stacjonarne I stopnia)","Biznes plan","Wyk³ad: 30","3","Zaliczenie","1","C"
"2277","Zarz¹dzanie (stacjonarne I stopnia)","Modele biznesu","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Egzamin","1","C"
"2278","Zarz¹dzanie (stacjonarne I stopnia)","Projektowanie organizacji","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Egzamin","1","C"
"2279","Zarz¹dzanie (stacjonarne I stopnia)","Suma","90","9","","",""
"2280","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","300","30","","",""
"2281","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","60","","","",""
"2282","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","30","","","",""
"2283","Zarz¹dzanie (stacjonarne I stopnia)","Specjalnoœæ: Zarz¹dzanie inwestycjami i nieruchomoœciami",NA,NA,NA,NA,NA
"2284","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2285","Zarz¹dzanie (stacjonarne I stopnia)","Podstawy funkcjonowania rynku nieruchomoœci","Wyk³ad: 30
                                                                                Æwiczenia: 15","3","Egzamin","1","C"
"2286","Zarz¹dzanie (stacjonarne I stopnia)","Podstawy zarz¹dzania nieruchomoœciami","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","C"
"2287","Zarz¹dzanie (stacjonarne I stopnia)","Suma","105","9","","",""
"2288","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","315","30","","",""
"2289","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","60","","","",""
"2290","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","45","","","",""
"2291","Zarz¹dzanie (stacjonarne I stopnia)","Specjalnoœæ: Zarz¹dzanie projektami",NA,NA,NA,NA,NA
"2292","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2293","Zarz¹dzanie (stacjonarne I stopnia)","Kierowanie zespo³em projektowym","Wyk³ad: 30","3","Zaliczenie","1","C"
"2294","Zarz¹dzanie (stacjonarne I stopnia)","Metody zarz¹dzania projektami","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Egzamin","1","C"
"2295","Zarz¹dzanie (stacjonarne I stopnia)","Planowanie i organizowanie projektu","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Egzamin","1","C"
"2296","Zarz¹dzanie (stacjonarne I stopnia)","Suma","90","9","","",""
"2297","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","300","30","","",""
"2298","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","60","","","",""
"2299","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","30","","","",""
"2300","Zarz¹dzanie (stacjonarne I stopnia)","Specjalnoœæ: Zarz¹dzanie przedsiêbiorstwami",NA,NA,NA,NA,NA
"2301","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2302","Zarz¹dzanie (stacjonarne I stopnia)","Biznes plan","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Egzamin","1","C"
"2303","Zarz¹dzanie (stacjonarne I stopnia)","Podejmowanie decyzji kierowniczych","Wyk³ad: 30","3","Egzamin","1","C"
"2304","Zarz¹dzanie (stacjonarne I stopnia)","Projektowanie struktur organizacyjnych","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Zaliczenie","1","C"
"2305","Zarz¹dzanie (stacjonarne I stopnia)","Suma","90","9","","",""
"2306","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","300","30","","",""
"2307","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","60","","","",""
"2308","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","30","","","",""
"2309","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2310","Zarz¹dzanie (stacjonarne I stopnia)","Analiza finansowa","Wyk³ad: 15
                                                                                Æwiczenia: 30","5","Egzamin","1","B"
"2311","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk obcy I","Æwiczenia: 30","2","Egzamin","1","D(B)"
"2312","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Egzamin","3","D(B)"
"2313","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Egzamin","3","D(B)"
"2314","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Egzamin","3","D(B)"
"2315","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Egzamin","3","D(B)"
"2316","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Egzamin","3","D(B)"
"2317","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk obcy II","Æwiczenia: 30","2","Egzamin","1","D(B)"
"2318","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Egzamin","3","D(B)"
"2319","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Egzamin","3","D(B)"
"2320","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Egzamin","3","D(B)"
"2321","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Egzamin","3","D(B)"
"2322","Zarz¹dzanie (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Egzamin","3","D(B)"
"2323","Zarz¹dzanie (stacjonarne I stopnia)","Metody planowania strategicznego","Wyk³ad: 15
                                                                                Æwiczenia: 30","5","Egzamin","1","B"
"2324","Zarz¹dzanie (stacjonarne I stopnia)","Seminarium dyplomowe","Æwiczenia: 15","1","Zaliczenie","1","C"
"2325","Zarz¹dzanie (stacjonarne I stopnia)","Suma","165","15","","",""
"2326","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","30","","","",""
"2327","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","135","","","",""
"2328","Zarz¹dzanie (stacjonarne I stopnia)","Specjalnoœæ: Handel i marketing",NA,NA,NA,NA,NA
"2329","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2330","Zarz¹dzanie (stacjonarne I stopnia)","Handel elektroniczny","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Zaliczenie","1","C"
"2331","Zarz¹dzanie (stacjonarne I stopnia)","Komunikacja marketingowa","Wyk³ad: 30","3","Zaliczenie","1","C"
"2332","Zarz¹dzanie (stacjonarne I stopnia)","Strategie cen i mar¿","Wyk³ad: 30","3","Zaliczenie","1","C"
"2333","Zarz¹dzanie (stacjonarne I stopnia)","Testowanie produktu","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Zaliczenie","1","C"
"2334","Zarz¹dzanie (stacjonarne I stopnia)","Wyk³ad specjalnoœciowy (1 przedmiot)","Wyk³ad: 30","3","Zaliczenie","0","C"
"2335","Zarz¹dzanie (stacjonarne I stopnia)","Internacjonalizacja przedsiêbiorstw handlowych","Wyk³ad: 30","3","Zaliczenie","0","C"
"2336","Zarz¹dzanie (stacjonarne I stopnia)","Marketing organizacji non-profit","Wyk³ad: 30","3","Zaliczenie","0","C"
"2337","Zarz¹dzanie (stacjonarne I stopnia)","Marketing w handlu","Wyk³ad: 30","3","Zaliczenie","0","C"
"2338","Zarz¹dzanie (stacjonarne I stopnia)","Suma","150","15","","",""
"2339","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","315","30","","",""
"2340","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","120","","","",""
"2341","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","30","","","",""
"2342","Zarz¹dzanie (stacjonarne I stopnia)","Specjalnoœæ: Komunikacja w biznesie",NA,NA,NA,NA,NA
"2343","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2344","Zarz¹dzanie (stacjonarne I stopnia)","Komunikacja multimedialna","Wyk³ad: 30","3","Zaliczenie","1","C"
"2345","Zarz¹dzanie (stacjonarne I stopnia)","Kreatywnoœæ i innowacje","Wyk³ad: 30","3","Zaliczenie","1","C"
"2346","Zarz¹dzanie (stacjonarne I stopnia)","Negocjacje","Wyk³ad: 30
                                                                                Æwiczenia: 15","6","Zaliczenie","1","C"
"2347","Zarz¹dzanie (stacjonarne I stopnia)","Wyk³ad specjalnoœciowy (1 przedmiot)","Wyk³ad: 30","3","Zaliczenie","0","C"
"2348","Zarz¹dzanie (stacjonarne I stopnia)","Etyka w biznesie","Wyk³ad: 30","3","Zaliczenie","0","C"
"2349","Zarz¹dzanie (stacjonarne I stopnia)","Organizacja wydarzeñ marketingowych","Wyk³ad: 30","3","Zaliczenie","0","C"
"2350","Zarz¹dzanie (stacjonarne I stopnia)","Suma","135","15","","",""
"2351","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","300","30","","",""
"2352","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","120","","","",""
"2353","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","15","","","",""
"2354","Zarz¹dzanie (stacjonarne I stopnia)","Specjalnoœæ: Konsulting gospodarczy",NA,NA,NA,NA,NA
"2355","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2356","Zarz¹dzanie (stacjonarne I stopnia)","Audyt rynkowy","Wyk³ad: 15
                                                                                Æwiczenia: 15","2","Zaliczenie","1","C"
"2357","Zarz¹dzanie (stacjonarne I stopnia)","Biznes on-line","Wyk³ad: 15","2","Zaliczenie","1","C"
"2358","Zarz¹dzanie (stacjonarne I stopnia)","Kierowanie zespo³em","Wyk³ad: 15
                                                                                Æwiczenia: 15","4","Zaliczenie","1","C"
"2359","Zarz¹dzanie (stacjonarne I stopnia)","Wspomaganie informatyczne konsultingu","Wyk³ad: 15","1","Zaliczenie","1","C"
"2360","Zarz¹dzanie (stacjonarne I stopnia)","Wyk³ady specjalnoœciowe do wyboru (2 przedmioty)","Wyk³ad: 60","6","Zaliczenie","0","C"
"2361","Zarz¹dzanie (stacjonarne I stopnia)","Design management","Wyk³ad: 30","3","Zaliczenie","0","C"
"2362","Zarz¹dzanie (stacjonarne I stopnia)","Kontroling finansowy","Wyk³ad: 30","3","Zaliczenie","0","C"
"2363","Zarz¹dzanie (stacjonarne I stopnia)","Negocjacje","Wyk³ad: 30","3","Zaliczenie","0","C"
"2364","Zarz¹dzanie (stacjonarne I stopnia)","Relacje z mediami","Wyk³ad: 30","3","Zaliczenie","0","C"
"2365","Zarz¹dzanie (stacjonarne I stopnia)","Zarz¹dzanie kategori¹ produktów","Wyk³ad: 30","3","Zaliczenie","0","C"
"2366","Zarz¹dzanie (stacjonarne I stopnia)","Suma","150","15","","",""
"2367","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","315","30","","",""
"2368","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","120","","","",""
"2369","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","30","","","",""
"2370","Zarz¹dzanie (stacjonarne I stopnia)","Specjalnoœæ: Zarz¹dzanie inwestycjami i nieruchomoœciami",NA,NA,NA,NA,NA
"2371","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2372","Zarz¹dzanie (stacjonarne I stopnia)","Ewidencja nieruchomoœci","Wyk³ad: 15","1","Zaliczenie","1","C"
"2373","Zarz¹dzanie (stacjonarne I stopnia)","Podstawy analizy rynku nieruchomoœci","Wyk³ad: 30","3","Zaliczenie","1","C"
"2374","Zarz¹dzanie (stacjonarne I stopnia)","Regulacje prawne nieruchomoœci","Wyk³ad: 15
                                                                                Æwiczenia: 15","2","Zaliczenie","1","C"
"2375","Zarz¹dzanie (stacjonarne I stopnia)","Wyk³ady specjalnoœciowe do wyboru (2 przedmioty)","Wyk³ad: 60","9","Zaliczenie","0","C"
"2376","Zarz¹dzanie (stacjonarne I stopnia)","Opodatkowanie nieruchomoœci","Wyk³ad: 30","4.5","Zaliczenie","0","C"
"2377","Zarz¹dzanie (stacjonarne I stopnia)","Przygotowanie planu zarz¹dzania nieruchomoœci¹","Wyk³ad: 30","4.5","Zaliczenie","0","C"
"2378","Zarz¹dzanie (stacjonarne I stopnia)","Zarz¹dzanie nieruchomoœciami publicznymi","Wyk³ad: 30","4.5","Zaliczenie","0","C"
"2379","Zarz¹dzanie (stacjonarne I stopnia)","Zarz¹dzanie nieruchomoœciami w przedsiêbiorstwie","Wyk³ad: 30","4.5","Zaliczenie","0","C"
"2380","Zarz¹dzanie (stacjonarne I stopnia)","Suma","135","15","","",""
"2381","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","300","30","","",""
"2382","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Wyk³ad)","120","","","",""
"2383","Zarz¹dzanie (stacjonarne I stopnia)","Suma (Æwiczenia)","15","","","",""
"2384","Zarz¹dzanie (stacjonarne I stopnia)","Specjalnoœæ: Zarz¹dzanie projektami",NA,NA,NA,NA,NA
"2385","Zarz¹dzanie (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"2386","Zarz¹dzanie (stacjonarne I stopnia)","Komunikowanie w projekcie","Wyk³ad: 30","2","Zaliczenie","1","C"
"2387","Zarz¹dzanie (stacjonarne I stopnia)","Wspomaganie zarz¹dzania projektem przez MS Project","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Zaliczenie","1","C"
