"","Forma_i_poziom","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","...5","X1","X2","X3","X4","X5"
"1197","Fizyka medyczna (stacjonarne I stopnia)","Pracownia licencjacka","Laboratorium:
                    45","Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"1198","Fizyka medyczna (stacjonarne I stopnia)","Modu³ do wyboru","Suma godzin kontaktowych:
                    45","Zaliczenie z ocen¹","4","G",NA,NA,NA,NA,NA
"1199","Fizyka medyczna (stacjonarne I stopnia)","Student wybiera jeden przedmiot z oferty dla 3 lub 5 semestru","Student wybiera jeden przedmiot z oferty dla 3 lub 5 semestru","Student wybiera jeden przedmiot z oferty dla 3 lub 5 semestru","Student wybiera jeden przedmiot z oferty dla 3 lub 5 semestru","Student wybiera jeden przedmiot z oferty dla 3 lub 5 semestru",NA,NA,NA,NA,NA
"1200","Fizyka medyczna (stacjonarne I stopnia)","Pozaustrojowe metody podtrzymywania ¿ycia","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"1201","Fizyka medyczna (stacjonarne I stopnia)","Wybrane metody spektroskopowe w badaniach medycznych","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"1202","Fizyka medyczna (stacjonarne I stopnia)","Biomechanika ruchu","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"1203","Fizyka medyczna (stacjonarne I stopnia)","Wprowadzenie do psychoakustyki","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"1204","Fizyka medyczna (stacjonarne I stopnia)","Modu³ do wyboru","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15                    
                                Laboratorium:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"1205","Fizyka medyczna (stacjonarne I stopnia)","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot",NA,NA,NA,NA,NA
"1206","Fizyka medyczna (stacjonarne I stopnia)","Modelowanie kinetyczne przep³ywów","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15                    
                                Laboratorium:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"1207","Fizyka medyczna (stacjonarne I stopnia)","Nanomedycyna","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15                    
                                Laboratorium:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"1208","Fizyka medyczna (stacjonarne I stopnia)","Jêzyk obcy B22","Lektorat:
                    30","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"1209","Fizyka medyczna (stacjonarne I stopnia)","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot",NA,NA,NA,NA,NA
"1210","Fizyka medyczna (stacjonarne I stopnia)","Jêzyk angielski B22","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1211","Fizyka medyczna (stacjonarne I stopnia)","Jêzyk niemiecki B22","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1212","Fizyka medyczna (stacjonarne I stopnia)","Jêzyk francuski B22","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1213","Fizyka medyczna (stacjonarne I stopnia)","Egzamin certyfikacyjny","Certyfikat:
                    0","Egzamin","2","G",NA,NA,NA,NA,NA
"1214","Fizyka medyczna (stacjonarne I stopnia)","Egzamin certyfikacyjny - Jêzyk angielski","Certyfikat:
                    0","Egzamin","2","F",NA,NA,NA,NA,NA
"1215","Fizyka medyczna (stacjonarne I stopnia)","Egzamin certyfikacyjny - Jêzyk niemiecki","Certyfikat:
                    0","Egzamin","2","F",NA,NA,NA,NA,NA
"1216","Fizyka medyczna (stacjonarne I stopnia)","Egzamin certyfikacyjny - Jêzyk francuski","Certyfikat:
                    0","Egzamin","2","F",NA,NA,NA,NA,NA
"1217","Fizyka medyczna (stacjonarne I stopnia)","Suma","375","","30","",NA,NA,NA,NA,NA
"1218","Fizyka medyczna (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"1219","Fizyka medyczna (stacjonarne I stopnia)","Radiobiologia","Wyk³ad:
                    15                    
                                Laboratorium:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","3","O",NA,NA,NA,NA,NA
"1220","Fizyka medyczna (stacjonarne I stopnia)","Fizykoterapia","Wyk³ad:
                    15                    
                                Æwiczenia:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1221","Fizyka medyczna (stacjonarne I stopnia)","Lasery w medycynie","Wyk³ad:
                    20                    
                                Æwiczenia:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"1222","Fizyka medyczna (stacjonarne I stopnia)","Pracownia licencjacka","Laboratorium:
                    60","Zaliczenie z ocen¹","7","G",NA,NA,NA,NA,NA
"1223","Fizyka medyczna (stacjonarne I stopnia)","Student kontynuuje pracowniê licencjack¹ wybran¹ na 5 semestrze","Student kontynuuje pracowniê licencjack¹ wybran¹ na 5 semestrze","Student kontynuuje pracowniê licencjack¹ wybran¹ na 5 semestrze","Student kontynuuje pracowniê licencjack¹ wybran¹ na 5 semestrze","Student kontynuuje pracowniê licencjack¹ wybran¹ na 5 semestrze",NA,NA,NA,NA,NA
"1224","Fizyka medyczna (stacjonarne I stopnia)","Pracownia licencjacka","Laboratorium:
                    60","Zaliczenie z ocen¹","7","F",NA,NA,NA,NA,NA
"1225","Fizyka medyczna (stacjonarne I stopnia)","Seminarium dyplomowe","Seminarium:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1226","Fizyka medyczna (stacjonarne I stopnia)","Wyk³ad monograficzny","Suma godzin kontaktowych:
                    45","Zaliczenie z ocen¹","4","G",NA,NA,NA,NA,NA
"1227","Fizyka medyczna (stacjonarne I stopnia)","Student wybiera jeden przedmiot z oferty Wydzia³u lub z oferty innych Wydzia³ów","Student wybiera jeden przedmiot z oferty Wydzia³u lub z oferty innych Wydzia³ów","Student wybiera jeden przedmiot z oferty Wydzia³u lub z oferty innych Wydzia³ów","Student wybiera jeden przedmiot z oferty Wydzia³u lub z oferty innych Wydzia³ów","Student wybiera jeden przedmiot z oferty Wydzia³u lub z oferty innych Wydzia³ów",NA,NA,NA,NA,NA
"1228","Fizyka medyczna (stacjonarne I stopnia)","Wyk³ad monograficzny","Suma godzin kontaktowych:
                    45","Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"1229","Fizyka medyczna (stacjonarne I stopnia)","Praktyka zawodowa","Praktyka:
                    200","Zaliczenie","8","O",NA,NA,NA,NA,NA
"1230","Fizyka medyczna (stacjonarne I stopnia)","Suma","430","","30","",NA,NA,NA,NA,NA
"1231","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Przemiany œrodowiska naturalnego i gospodarowanie jego zasobami","Wyk³ad:
                    30","Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"1232","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Logika i retoryka","Æwiczenia:
                    15","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1233","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Demografia historyczna","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","O",NA,NA,NA,NA,NA
"1234","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Gospodarka preindustrialna - staro¿ytnoœæ","Wyk³ad:
                    30                    
                                Æwiczenia:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"1235","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Kulturowe podstawy ¿ycia spo³eczno-gospodarczego","Æwiczenia:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1236","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Mikroekonomika","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"1237","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Nauki pomocnicze historii spo³eczno-gospodarczej","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","O",NA,NA,NA,NA,NA
"1238","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Ochrona w³asnoœci intelektualnej","Wyk³ad:
                    15","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"1239","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Wprowadzenie do historii gospodarczej","Æwiczenia:
                    15","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1240","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Blok przedmiotów do wyboru 1 - Historia gospodarcza","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","G",NA,NA,NA,NA,NA
"1241","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot",NA,NA,NA,NA,NA
"1242","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia pieni¹dza, cz. 1","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1243","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia techniki, cz. 1","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1244","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Szkolenie biblioteczne","Æwiczenia:
                    5, w tym zajêcia zdalne:
                    Æwiczenia asynchroniczne: 5","Zaliczenie","-","O",NA,NA,NA,NA,NA
"1245","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Szkolenie bhp","Szkolenie bhp:
                    4, w tym zajêcia zdalne:
                    Szkolenie bhp asynchroniczne: 4","Zaliczenie","-","O",NA,NA,NA,NA,NA
"1246","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Suma","309","","32","",NA,NA,NA,NA,NA
"1247","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"1248","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","E-humanistyka","Æwiczenia:
                    15","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"1249","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Socjologia","Wyk³ad:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1250","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Gospodarka preindustrialna - œredniowiecze","Wyk³ad:
                    30                    
                                Æwiczenia:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"1251","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia i wspó³czesnoœæ prawa pracy","Æwiczenia:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1252","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia systemów politycznych","Æwiczenia:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1253","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Makroekonomia","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"1254","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Statystyka historyczna","Æwiczenia:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1255","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Blok przedmiotów do wyboru I - Historia gospodarcza","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","G",NA,NA,NA,NA,NA
"1256","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot",NA,NA,NA,NA,NA
"1257","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia pieni¹dza, cz. 2","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","O",NA,NA,NA,NA,NA
"1258","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia techniki, cz. 2","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","O",NA,NA,NA,NA,NA
"1259","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Blok przedmiotów do wyboru II - Administracja publiczna i samorz¹dnoœæ","Suma godzin kontaktowych:
                    60","Zaliczenie z ocen¹","6","G",NA,NA,NA,NA,NA
"1260","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty",NA,NA,NA,NA,NA
"1261","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia samorz¹dnoœci na ziemiach polskich w XIX i XX wieku","Wyk³ad:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1262","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Dostêp do informacji publicznej i ochrona danych osobowych","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1263","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Badania reprezentacyjne zjawisk spo³eczno-gospodarczych","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1264","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk obcy A2","Lektorat:
                    30","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"1265","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot",NA,NA,NA,NA,NA
"1266","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk angielski A2","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1267","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk niemiecki A2","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1268","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk francuski A2","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1269","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Suma","360","","32","",NA,NA,NA,NA,NA
"1270","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"1271","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Gospodarka preindustrialna - nowo¿ytnoœæ XVI-XVIII wiek","Wyk³ad:
                    30                    
                                Æwiczenia:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"1272","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia myœli ekonomicznej","Wyk³ad:
                    30","Egzamin","3","O",NA,NA,NA,NA,NA
"1273","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Miêdzynarodowe stosunki gospodarcze (XV-XXI w.)","Wyk³ad:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1274","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Prawo gospodarcze w dziejach","Æwiczenia:
                    30","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"1275","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Struktury spo³eczne","Wyk³ad:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1276","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Blok przedmiotów do wyboru I - Historia gospodarcza","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","G",NA,NA,NA,NA,NA
"1277","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot",NA,NA,NA,NA,NA
"1278","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia bankowoœci, cz. 1","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1279","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia handlu i transportu, cz. 1","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1280","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Blok przedmiotów do wyboru II - Administracja publiczna i samorz¹dnoœæ","Suma godzin kontaktowych:
                    60","Zaliczenie z ocen¹","6","G",NA,NA,NA,NA,NA
"1281","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty",NA,NA,NA,NA,NA
"1282","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Administracja publiczna w Polsce po 1990 r.","Wyk³ad:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1283","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Spo³eczna odpowiedzialnoœæ biznesu","Wyk³ad:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1284","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Marketing spo³eczno-gospodarczy","Laboratorium:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1285","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Przedmiot do wyboru z listy zewnêtrznej","Wyk³ad:
                    30","Zaliczenie z ocen¹","3","G",NA,NA,NA,NA,NA
"1286","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Student wybiera jeden z przedmiotów z listy","Student wybiera jeden z przedmiotów z listy","Student wybiera jeden z przedmiotów z listy","Student wybiera jeden z przedmiotów z listy","Student wybiera jeden z przedmiotów z listy",NA,NA,NA,NA,NA
"1287","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Zajêcia ogólnouniwersyteckie","Wyk³ad:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1288","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk obcy B1","Lektorat:
                    30","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"1289","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot",NA,NA,NA,NA,NA
"1290","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk angielski B1","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1291","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk niemiecki B1","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1292","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk francuski B1","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1293","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Wychowanie fizyczne","Wychowanie fizyczne:
                    30","Zaliczenie z ocen¹","-","O",NA,NA,NA,NA,NA
"1294","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Suma","360","","28","",NA,NA,NA,NA,NA
"1295","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"1296","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Gospodarka industrialna - I rewolucja przemys³owa","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","5","O",NA,NA,NA,NA,NA
"1297","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Gromadzenie, przetwarzanie i zarz¹dzanie informacj¹ gospodarcz¹","Warsztaty:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1298","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Budowa baz danych historyczno-gospodarczych w œrodowisku Office (Excel z VBA i Access)","Warsztaty:
                    30","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"1299","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Cywilizacja XIX wieku","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","3","O",NA,NA,NA,NA,NA
"1300","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Kultura masowa","Wyk³ad:
                    30","Zaliczenie z ocen¹","3","O",NA,NA,NA,NA,NA
"1301","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Pragmatyka badañ naukowych w obszarze humanistyki","Æwiczenia:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1302","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Podstawy przedsiêbiorczoœci","Æwiczenia:
                    15","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"1303","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Blok przedmiotów do wyboru I - Historia gospodarcza","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","G",NA,NA,NA,NA,NA
"1304","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia bankowoœci, cz. 2","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1305","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia handlu i transportu, cz. 2","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1306","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Blok przedmiotów do wyboru II - Administracja publiczna i samorz¹dnoœæ","Suma godzin kontaktowych:
                    60","Zaliczenie z ocen¹","6","G",NA,NA,NA,NA,NA
"1307","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty","Student wybiera dwa przedmioty",NA,NA,NA,NA,NA
"1308","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Samorz¹d terytorialny w Polsce po 1990 r.","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1309","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Podstawy zarz¹dzania","Warsztaty:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1310","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Prawo i postêpowanie administracyjne","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"1311","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk obcy B21","Lektorat:
                    30","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"1312","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot",NA,NA,NA,NA,NA
"1313","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk angielski B21","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1314","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk niemiecki B21","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1315","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Jêzyk francuski B21","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"1316","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Wychowanie fizyczne","Wychowanie fizyczne:
                    30","Zaliczenie z ocen¹","-","O",NA,NA,NA,NA,NA
"1317","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Suma","375","","28","",NA,NA,NA,NA,NA
"1318","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"1319","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Cywilizacja XX wieku (1918-1990)","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","3","O",NA,NA,NA,NA,NA
"1320","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Psychologia spo³eczna","Wyk³ad:
                    15","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"1321","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Gospodarka industrialna - II rewolucja przemys³owa","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","5","O",NA,NA,NA,NA,NA
"1322","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Informatyczne metody analizy danych historyczno-gospodarczych (Statistika, Jêzyk R)","Warsztaty:
                    30","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"1323","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Krajowe i miêdzynarodowe instytucje gospodarcze","Æwiczenia:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"1324","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Blok przedmiotów do wyboru I - Historia gospodarcza","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","G",NA,NA,NA,NA,NA
"1325","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot",NA,NA,NA,NA,NA
"1326","Gospodarka i ekonomia w dziejach (stacjonarne I stopnia)","Historia kapitalizmu","Æwiczenia:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
